startingAirport,destinationAirport,route_od,N,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin,lon_origin,lat_dest,lon_dest,dificultad,color
OAK,ATL,OAK_ATL,363.0,533.4197245179064,477.4432831295915,127.06324090443412,222.50096487350234,23.558974160461972,0.31105286523221454,37.7126,-122.2197,33.6407,-84.4277,Difícil de predecir,red
OAK,DTW,OAK_DTW,276.0,551.8880434782608,476.7276684396791,125.82498855814111,215.71980863860702,20.247863587662067,0.2899310870170738,37.7126,-122.2197,42.2162,-83.3554,Difícil de predecir,red
ORD,OAK,ORD_OAK,204.0,465.7419607843137,448.8568904615494,125.1773542470567,216.83628403778533,32.55817960407532,0.469683957344318,41.9742,-87.9073,37.7126,-122.2197,Difícil de predecir,red
CLT,OAK,CLT_OAK,206.0,589.7318446601942,607.7816586364515,119.52254326469591,195.52212527308146,22.150321765039838,0.19223992672220136,35.2144,-80.9473,37.7126,-122.2197,Difícil de predecir,red
EWR,OAK,EWR_OAK,178.0,527.5829775280899,478.0008477436266,114.15241400709336,206.21187431839184,26.381940619710733,0.3260934350536553,40.6895,-74.1745,37.7126,-122.2197,Difícil de predecir,red
OAK,PHL,OAK_PHL,283.0,622.1155477031803,603.9253505049584,113.10660724575749,191.9535893306563,21.639455218906942,0.17292427231656493,37.7126,-122.2197,39.8744,-75.2424,Difícil de predecir,red
BOS,OAK,BOS_OAK,315.0,595.9938095238094,573.9872165786256,112.81634012158874,211.90471916340974,17.358343532472883,0.14802431562908025,42.3656,-71.0096,37.7126,-122.2197,Difícil de predecir,red
PHL,SFO,PHL_SFO,317.0,379.2139116719243,404.6665056696453,112.57508824349243,159.60321039689174,40.730957062170255,0.19926658987869705,39.8744,-75.2424,37.6213,-122.379,Difícil de predecir,red
IAD,OAK,IAD_OAK,113.0,554.8528318584071,556.3138980566705,111.77816297264516,177.15140540615658,19.608224477727962,0.2832551122669198,38.9531,-77.4565,37.7126,-122.2197,Difícil de predecir,red
SFO,PHL,SFO_PHL,315.0,393.62990476190475,406.8986177118827,110.56072845991187,152.55384052123082,36.8668795111396,0.19301419592293312,37.6213,-122.379,39.8744,-75.2424,Difícil de predecir,red
ATL,SFO,ATL_SFO,401.0,397.0234164588529,403.4051161037071,104.05907103020955,134.69945678806826,35.36585688377721,0.35433174050212257,33.6407,-84.4277,37.6213,-122.379,Difícil de predecir,red
SFO,MIA,SFO_MIA,323.0,384.1104953560371,380.5838948825284,102.667833911622,133.84297065294405,30.145833214500673,0.2946155854637653,37.6213,-122.379,25.7959,-80.287,Difícil de predecir,red
OAK,IAD,OAK_IAD,123.0,534.1895121951219,536.4887181724636,100.50982569944937,165.84985503793376,19.393572257055077,0.3031322763497998,37.7126,-122.2197,38.9531,-77.4565,Difícil de predecir,red
SFO,ATL,SFO_ATL,387.0,397.58728682170533,395.34485601187816,100.24982711031107,131.16910472636195,32.57284259720712,0.34355869510087456,37.6213,-122.379,33.6407,-84.4277,Difícil de predecir,red
IAD,BOS,IAD_BOS,246.0,359.3455691056911,291.7684242972373,99.88856555227173,130.04573903942224,29.30896564976359,0.6110910258634313,38.9531,-77.4565,42.3656,-71.0096,Difícil de predecir,red
EWR,DEN,EWR_DEN,285.0,271.8645263157894,299.75500615343594,99.61121002112606,146.66712897529916,45.765705601557634,0.3318144830324572,40.6895,-74.1745,39.8561,-104.6737,Difícil de predecir,red
MIA,SFO,MIA_SFO,331.0,354.0818126888217,378.3877628722014,99.59951267708354,120.5780578297502,34.33187611970109,0.3448900755822001,25.7959,-80.287,37.6213,-122.379,Difícil de predecir,red
SFO,CLT,SFO_CLT,387.0,437.15255813953485,450.99820443121365,98.91663469308342,135.64042396471706,29.36885279248496,0.13667202674288925,37.6213,-122.379,35.2144,-80.9473,Difícil de predecir,red
SFO,LGA,SFO_LGA,428.0,383.5614252336448,374.8376899780526,98.7149352698157,142.72193936899416,28.628123648654242,0.34470836871353894,37.6213,-122.379,40.7769,-73.874,Difícil de predecir,red
SFO,EWR,SFO_EWR,348.0,377.5563793103448,343.6346261306895,96.70210287741546,153.35236581109027,25.608421828042836,0.31295431179683686,37.6213,-122.379,40.6895,-74.1745,Difícil de predecir,red
SFO,DTW,SFO_DTW,402.0,420.1095273631841,412.44293904181967,95.49360743410307,123.14667190200363,28.550769064188355,0.4365047383512397,37.6213,-122.379,42.2162,-83.3554,Difícil de predecir,red
LGA,SFO,LGA_SFO,386.0,350.19329015544037,367.12632984488897,94.90181921564323,148.97092311629584,31.86410372707052,0.39668305743149546,40.7769,-73.874,37.6213,-122.379,Difícil de predecir,red
DTW,ATL,DTW_ATL,360.0,322.1695555555555,281.673437490933,94.03815335725828,186.0395407015499,28.89258842580477,0.2897907960152276,42.2162,-83.3554,33.6407,-84.4277,Difícil de predecir,red
DTW,SFO,DTW_SFO,381.0,409.75112860892386,417.1496851569318,93.38355706892104,117.40828841236801,26.970721785454657,0.380163630958944,42.2162,-83.3554,37.6213,-122.379,Difícil de predecir,red
BOS,IAD,BOS_IAD,256.0,373.49406250000004,319.6552867876128,93.07297280883247,117.36836260306562,28.18025415688535,0.585711790355428,42.3656,-71.0096,38.9531,-77.4565,Difícil de predecir,red
CLT,SFO,CLT_SFO,382.0,439.9592408376963,459.63274450696366,91.01536033807218,122.4511036742621,27.14233276194542,0.19413139486085074,35.2144,-80.9473,37.6213,-122.379,Difícil de predecir,red
EWR,SFO,EWR_SFO,374.0,362.58459893048126,336.98584190665963,90.44040013199127,146.21906869069738,25.194148184803602,0.5351367293787188,40.6895,-74.1745,37.6213,-122.379,Difícil de predecir,red
DTW,OAK,DTW_OAK,263.0,506.3213688212928,477.8412908923081,89.93502481638639,150.13150273128232,20.07581454542105,0.4802250772142588,42.2162,-83.3554,37.7126,-122.2197,Difícil de predecir,red
DTW,LAX,DTW_LAX,462.0,367.7957575757576,359.7457171633364,89.67307356434655,122.65491528863683,26.75040746190088,0.3437586932283101,42.2162,-83.3554,33.9416,-118.4085,Difícil de predecir,red
DEN,OAK,DEN_OAK,189.0,349.66010582010574,401.51879531475953,89.54107608797244,122.91529989167849,41.96652947632649,0.41841577532983676,39.8561,-104.6737,37.7126,-122.2197,Difícil de predecir,red
LAX,OAK,LAX_OAK,179.0,281.61050279329606,289.956251146302,89.38801417170242,115.34337531694545,43.288189657058574,0.6012927099546153,33.9416,-118.4085,37.7126,-122.2197,Difícil de predecir,red
ATL,OAK,ATL_OAK,420.0,487.50219047619044,482.376485258469,89.37865822462159,148.55263676876652,23.75064740046384,0.5118468402761609,33.6407,-84.4277,37.7126,-122.2197,Difícil de predecir,red
DEN,PHL,DEN_PHL,250.0,298.14183999999995,294.8061296856734,89.17367055621303,117.68486935113128,40.7666715800728,0.4442577836772901,39.8561,-104.6737,39.8744,-75.2424,Difícil de predecir,red
DEN,ATL,DEN_ATL,237.0,245.72561181434597,252.63898753167206,87.85978259747951,137.7336601822138,50.72542928478005,0.29842380476103036,39.8561,-104.6737,33.6407,-84.4277,Difícil de predecir,red
PHL,DEN,PHL_DEN,237.0,289.30143459915615,297.76237357835305,86.81270847525774,117.6033232092334,41.33312552160931,0.38129553236692915,39.8744,-75.2424,39.8561,-104.6737,Difícil de predecir,red
SFO,JFK,SFO_JFK,336.0,339.3755952380952,318.20984048313466,86.78867242319339,133.49925262451742,25.73489339493121,0.3092070859455529,37.6213,-122.379,40.6413,-73.7781,Difícil de predecir,red
CLT,DTW,CLT_DTW,281.0,313.1651601423487,299.0738815421023,86.68195403383112,129.0239387800642,33.38190462810637,0.2971915204336242,35.2144,-80.9473,42.2162,-83.3554,Difícil de predecir,red
LAX,DTW,LAX_DTW,567.0,361.45026455026454,351.351139752838,86.57576838844149,114.04459409819474,25.877133505104062,0.45456440308526747,33.9416,-118.4085,42.2162,-83.3554,Difícil de predecir,red
ATL,DTW,ATL_DTW,375.0,296.11826666666667,270.71539875222817,86.1508756816003,138.59770928304204,34.97320547634064,0.3761828002950228,33.6407,-84.4277,42.2162,-83.3554,Difícil de predecir,red
IAD,SFO,IAD_SFO,344.0,437.1075581395349,412.2249791031685,85.86608367738867,109.80362032228784,20.47300062040006,0.5376652416107462,38.9531,-77.4565,37.6213,-122.379,Difícil de predecir,red
OAK,LAX,OAK_LAX,265.0,273.1576226415094,282.75409110028744,85.50869498919563,129.57101318274735,42.68592362894223,0.5440510855600942,37.7126,-122.2197,33.9416,-118.4085,Difícil de predecir,red
JFK,DTW,JFK_DTW,282.0,338.312659574468,344.4447295458413,84.40413354198861,108.6927881521168,41.06694122440263,0.557774955692867,40.6413,-73.7781,42.2162,-83.3554,Difícil de predecir,red
DEN,IAD,DEN_IAD,197.0,280.0994416243654,280.4901817243386,84.05180645654819,119.36398235361281,35.819530037023,0.45451341682805735,39.8561,-104.6737,38.9531,-77.4565,Difícil de predecir,red
SFO,IAD,SFO_IAD,362.0,426.4424033149171,407.82069637349184,83.60505198203546,110.86707133414188,20.687530158243607,0.5105294413885545,37.6213,-122.379,38.9531,-77.4565,Difícil de predecir,red
JFK,SFO,JFK_SFO,345.0,329.42515942028984,314.5450097035161,83.34840313113618,117.29183801121526,26.46387452986248,0.48844957489525564,40.6413,-73.7781,37.6213,-122.379,Difícil de predecir,red
DFW,MIA,DFW_MIA,351.0,297.4490313390313,272.98665524671327,83.08948742234939,135.21008118042798,31.68692992070316,0.24929928629835274,32.8998,-97.0403,25.7959,-80.287,Difícil de predecir,red
DEN,MIA,DEN_MIA,266.0,307.91699248120307,311.19999100600387,82.88535547339403,109.70130179964745,44.49402103667656,0.42632829648516435,39.8561,-104.6737,25.7959,-80.287,Difícil de predecir,red
DEN,DFW,DEN_DFW,232.0,223.05676724137928,204.36771368717828,82.8112031299921,122.0209677456324,43.45978810381158,0.30143135778544483,39.8561,-104.6737,32.8998,-97.0403,Difícil de predecir,red
DEN,SFO,DEN_SFO,260.0,227.24342307692305,240.17084432068296,81.97848486175714,130.60988475360435,47.566552652176405,0.35726074705642064,39.8561,-104.6737,37.6213,-122.379,Difícil de predecir,red
SFO,BOS,SFO_BOS,396.0,300.24765151515146,318.71904073421746,81.87261786936693,121.2577561783979,31.277792198016538,0.2143992435912444,37.6213,-122.379,42.3656,-71.0096,Difícil de predecir,red
DEN,CLT,DEN_CLT,249.0,306.3703212851405,296.38915245104,81.68822933444312,116.01051684961617,29.68258642733104,0.3364361158048921,39.8561,-104.6737,35.2144,-80.9473,Difícil de predecir,red
ATL,JFK,ATL_JFK,257.0,296.29571984435796,278.19115375019135,81.1985481667679,107.22789895956753,38.06146761937212,0.6286026643619829,33.6407,-84.4277,40.6413,-73.7781,Difícil de predecir,red
DTW,JFK,DTW_JFK,352.0,393.30352272727265,369.4610929980063,80.8141052059219,105.8387596036719,27.65408085465326,0.5933606695031592,42.2162,-83.3554,40.6413,-73.7781,Difícil de predecir,red
DFW,JFK,DFW_JFK,246.0,326.5511788617886,330.88725309850395,79.96124158189568,109.8345949897217,32.08793182032224,0.6728734782405497,32.8998,-97.0403,40.6413,-73.7781,Difícil de predecir,red
ORD,LAX,ORD_LAX,551.0,296.14401088929213,309.59018186838045,78.0056774587584,100.4852823929437,33.162981870511715,0.44905436620607797,41.9742,-87.9073,33.9416,-118.4085,Difícil de predecir,red
SFO,DEN,SFO_DEN,339.0,273.56899705014746,258.52111288056875,77.91346981519564,127.7478567326604,32.751008438425586,0.3940394375583689,37.6213,-122.379,39.8561,-104.6737,Difícil de predecir,red
BOS,SFO,BOS_SFO,367.0,288.58956403269747,310.03880788777695,77.77750872806584,101.05785336776212,30.94861753729886,0.3228861245654493,42.3656,-71.0096,37.6213,-122.379,Difícil de predecir,red
JFK,MIA,JFK_MIA,219.0,234.2271232876712,202.5550221847759,77.51993231430005,136.1685691778652,30.770673391733595,0.5725706495702616,40.6413,-73.7781,25.7959,-80.287,Difícil de predecir,red
CLT,BOS,CLT_BOS,401.0,284.9915710723192,248.19860531123243,77.22393396272821,99.02998092262175,31.205605011006014,0.35967146441988307,35.2144,-80.9473,42.3656,-71.0096,Difícil de predecir,red
JFK,DFW,JFK_DFW,425.0,445.67498823529417,409.9883711167074,77.20739652067243,113.89016129818525,20.180961219424837,0.6875184787063422,40.6413,-73.7781,32.8998,-97.0403,Difícil de predecir,red
OAK,LGA,OAK_LGA,376.0,574.5641489361702,580.020571374947,76.70156622852478,123.69050601786097,13.267105174834267,0.2844943680752752,37.7126,-122.2197,40.7769,-73.874,Difícil de predecir,red
DTW,PHL,DTW_PHL,186.0,299.1629032258064,267.277752569496,76.62112712306417,100.00143225722503,30.395306084612184,0.4889901254347877,42.2162,-83.3554,39.8744,-75.2424,Difícil de predecir,red
DTW,DFW,DTW_DFW,249.0,302.4632128514056,260.0447654139063,76.3431685516052,117.08228653197678,23.945944218897214,0.33712314276810174,42.2162,-83.3554,32.8998,-97.0403,Difícil de predecir,red
DTW,DEN,DTW_DEN,206.0,268.2603398058252,272.6723908283043,76.24671923707042,101.65245839345215,34.10155362673694,0.35236802967382574,42.2162,-83.3554,39.8561,-104.6737,Difícil de predecir,red
MIA,DEN,MIA_DEN,259.0,270.4862934362934,293.5573616210526,75.7200088527601,99.32742830316515,45.91856754383789,0.4019553411198383,25.7959,-80.287,39.8561,-104.6737,Difícil de predecir,red
MIA,LAX,MIA_LAX,440.0,295.26445454545456,290.9318761869404,75.58757530353877,105.1933274005245,29.207567245299884,0.5037988085814893,25.7959,-80.287,33.9416,-118.4085,Difícil de predecir,red
JFK,CLT,JFK_CLT,357.0,296.0084033613445,265.85272355694,75.13267171084433,157.65930177629758,23.195478766733395,0.3256534436963364,40.6413,-73.7781,35.2144,-80.9473,Difícil de predecir,red
PHL,LAX,PHL_LAX,463.0,358.2379913606911,355.0304412360875,75.06793573913228,131.44471966839066,24.194710872261684,0.4013224710264248,39.8744,-75.2424,33.9416,-118.4085,Difícil de predecir,red
LGA,OAK,LGA_OAK,420.0,566.3164761904761,572.5750476400348,74.94352217517884,111.91759531605612,12.98057724539917,0.30573652272418206,40.7769,-73.874,37.7126,-122.2197,Difícil de predecir,red
MIA,PHL,MIA_PHL,234.0,245.20213675213674,255.0060208519587,74.75459837594666,100.01045322567761,43.26113802788343,0.4651422321292352,25.7959,-80.287,39.8744,-75.2424,Difícil de predecir,red
DFW,DEN,DFW_DEN,288.0,221.9446180555555,210.74173817809458,74.37649020438346,98.22464091508813,40.780435051141495,0.5161720120152697,32.8998,-97.0403,39.8561,-104.6737,Difícil de predecir,red
LAX,MIA,LAX_MIA,441.0,316.3056916099773,297.80042118988655,74.25300364943047,108.42341261886102,24.629818623793813,0.4486247196771761,33.9416,-118.4085,25.7959,-80.287,Difícil de predecir,red
DTW,CLT,DTW_CLT,259.0,299.67386100386096,300.2745684393647,73.81922884438846,125.81883871524742,29.426893769083957,0.33249704503460853,42.2162,-83.3554,35.2144,-80.9473,Difícil de predecir,red
DEN,BOS,DEN_BOS,363.0,259.5683195592286,273.1836772576057,73.49505306462203,97.94762394256232,33.94593063904627,0.19345762834730507,39.8561,-104.6737,42.3656,-71.0096,Difícil de predecir,red
JFK,DEN,JFK_DEN,373.0,472.3908579088471,489.9048391588351,73.45859644010919,103.94438117135401,27.884526428305783,0.7078631260908717,40.6413,-73.7781,39.8561,-104.6737,Difícil de predecir,red
ATL,DEN,ATL_DEN,284.0,230.87661971830983,247.43544003253388,73.28314466731236,92.8123537824311,44.49751052283313,0.32544362558369333,33.6407,-84.4277,39.8561,-104.6737,Difícil de predecir,red
DEN,EWR,DEN_EWR,271.0,258.25627306273054,272.37524456246996,72.94836846653962,94.04896796536448,34.06584894190473,0.4566931392806929,39.8561,-104.6737,40.6895,-74.1745,Difícil de predecir,red
LAX,JFK,LAX_JFK,510.0,325.27560784313727,317.4449846330406,72.83863190176035,149.2070164327911,23.625892661273262,0.27541040464557864,33.9416,-118.4085,40.6413,-73.7781,Difícil de predecir,red
LAX,PHL,LAX_PHL,535.0,370.70143925233646,366.47072019388577,72.62372289668133,95.69638835044111,23.359816292885878,0.35785372644047697,33.9416,-118.4085,39.8744,-75.2424,Difícil de predecir,red
CLT,JFK,CLT_JFK,354.0,312.1775141242938,278.5511659645285,72.43655197467781,113.59623315708541,22.720803274493868,0.5174468244328202,35.2144,-80.9473,40.6413,-73.7781,Difícil de predecir,red
ATL,LAX,ATL_LAX,633.0,318.37830963665084,299.7368780229616,72.34692067292421,96.49083131076388,25.457009623523252,0.530208454829224,33.6407,-84.4277,33.9416,-118.4085,Difícil de predecir,red
LAX,ORD,LAX_ORD,566.0,272.9888692579505,285.57150500007765,72.16126875804116,89.64488372228881,34.28238903311059,0.5205753672585921,33.9416,-118.4085,41.9742,-87.9073,Difícil de predecir,red
LAX,BOS,LAX_BOS,541.0,308.26713493530497,311.63440030802866,71.69197054441372,96.67263389340411,25.301469896001713,0.282174748775066,33.9416,-118.4085,42.3656,-71.0096,Difícil de predecir,red
LGA,LAX,LGA_LAX,519.0,294.82107899807323,286.57720246542175,71.21933043172585,116.4425794440487,24.848512793646787,0.4181913310973344,40.7769,-73.874,33.9416,-118.4085,Difícil de predecir,red
DTW,MIA,DTW_MIA,286.0,278.0672727272727,241.95461696841485,71.2086776373613,155.32777326613896,22.107239127273488,0.15114549503119412,42.2162,-83.3554,25.7959,-80.287,Difícil de predecir,red
SFO,ORD,SFO_ORD,336.0,301.4850595238095,300.8854357418597,70.80542669842323,96.31200845814483,27.647349017486185,0.5157123729605644,37.6213,-122.379,41.9742,-87.9073,Difícil de predecir,red
LAX,CLT,LAX_CLT,479.0,401.9992275574113,395.08223484737033,70.52555364953213,95.64172759971996,20.969319484744208,0.24726092096974983,33.9416,-118.4085,35.2144,-80.9473,Difícil de predecir,red
SFO,DFW,SFO_DFW,281.0,277.0937366548043,262.77205905040915,70.34297985906593,117.22586294844106,29.655722891816467,0.3362882088735889,37.6213,-122.379,32.8998,-97.0403,Difícil de predecir,red
DEN,DTW,DEN_DTW,201.0,256.4396517412935,253.03275811415432,70.04391858198153,98.95128590711208,33.78232847554294,0.3799147285213068,39.8561,-104.6737,42.2162,-83.3554,Difícil de predecir,red
LAX,ATL,LAX_ATL,618.0,328.136925566343,311.0060915063801,69.86407162182246,94.5889827175927,23.246943617065625,0.49020031169481737,33.9416,-118.4085,33.6407,-84.4277,Difícil de predecir,red
DEN,LAX,DEN_LAX,349.0,217.80650429799422,218.08922876649754,69.77952246999568,99.77231805685918,42.312469461325435,0.42521061178387554,39.8561,-104.6737,33.9416,-118.4085,Difícil de predecir,red
EWR,DTW,EWR_DTW,243.0,245.9293827160493,220.71027608313986,69.39376558536156,102.90798457305075,29.774368982276556,0.3403965902695463,40.6895,-74.1745,42.2162,-83.3554,Difícil de predecir,red
IAD,DEN,IAD_DEN,160.0,273.12593749999996,289.6779769498345,69.25836843824497,102.71334501125051,30.606467109556537,0.38676616212420645,38.9531,-77.4565,39.8561,-104.6737,Difícil de predecir,red
ATL,PHL,ATL_PHL,302.0,217.25168874172184,200.534552014076,69.13257996161364,95.39179521105159,43.61480776244626,0.41391925516522365,33.6407,-84.4277,39.8744,-75.2424,Difícil de predecir,red
MIA,ATL,MIA_ATL,235.0,226.20217021276594,212.65672751896366,69.0914451439016,96.80912251331122,39.21704245942061,0.40745948037795265,25.7959,-80.287,33.6407,-84.4277,Difícil de predecir,red
IAD,EWR,IAD_EWR,218.0,319.0012844036697,297.7220226241027,69.0608847841595,101.20666541669895,23.446015372608816,0.47480806338527937,38.9531,-77.4565,40.6895,-74.1745,Difícil de predecir,red
JFK,ATL,JFK_ATL,249.0,271.6963453815261,261.80654593901227,68.88908128666739,95.96062196394509,34.073499137998716,0.6802990017595125,40.6413,-73.7781,33.6407,-84.4277,Difícil de predecir,red
BOS,DEN,BOS_DEN,355.0,268.53588732394365,286.17503979572643,68.86422871590457,89.54601155912708,30.26933384059127,0.3185397889979933,42.3656,-71.0096,39.8561,-104.6737,Difícil de predecir,red
BOS,LAX,BOS_LAX,523.0,306.5554493307839,306.91275760752325,68.57194593966838,93.08848697363119,24.8384109698586,0.4668462193441999,42.3656,-71.0096,33.9416,-118.4085,Difícil de predecir,red
IAD,ORD,IAD_ORD,193.0,282.87295336787565,252.66338577338507,68.3731621149655,96.2308804827164,23.43520392079779,0.6678366717830495,38.9531,-77.4565,41.9742,-87.9073,Difícil de predecir,red
BOS,DFW,BOS_DFW,479.0,327.56780793319416,287.41944961892773,68.20122151962066,133.68571563528928,19.174631258853367,0.38893745583718486,42.3656,-71.0096,32.8998,-97.0403,Difícil de predecir,red
JFK,LAX,JFK_LAX,516.0,317.4068798449613,303.17688831806794,68.14012616507041,118.28834086597203,21.994647211593545,0.304785595253543,40.6413,-73.7781,33.9416,-118.4085,Difícil de predecir,red
DEN,ORD,DEN_ORD,205.0,237.15390243902434,242.83849352327078,67.89393895596648,91.2103689929006,35.76158028234429,0.4425025531447645,39.8561,-104.6737,41.9742,-87.9073,Fácil de predecir,green
MIA,DFW,MIA_DFW,424.0,293.92792452830184,279.00365362173807,67.75459804004403,96.6658482355049,25.963043500054663,0.4685328490822147,25.7959,-80.287,32.8998,-97.0403,Fácil de predecir,green
IAD,JFK,IAD_JFK,166.0,389.697891566265,361.077835905692,67.70490268462447,136.61557251913638,16.15493821623122,0.4041964563939142,38.9531,-77.4565,40.6413,-73.7781,Fácil de predecir,green
LAX,DEN,LAX_DEN,333.0,211.03603603603602,218.66478549397368,67.30049091355474,90.65740890681506,44.00925288894219,0.40838890977540865,33.9416,-118.4085,39.8561,-104.6737,Fácil de predecir,green
CLT,DEN,CLT_DEN,212.0,261.25207547169805,282.1647493112183,67.22948644740843,92.52612959610511,32.35658067078786,0.4242277434554934,35.2144,-80.9473,39.8561,-104.6737,Fácil de predecir,green
PHL,DTW,PHL_DTW,224.0,282.80625,261.23730789931835,66.68823683030824,90.57201018748141,27.002715362314813,0.5159101382965049,39.8744,-75.2424,42.2162,-83.3554,Fácil de predecir,green
DFW,OAK,DFW_OAK,427.0,411.8191569086651,403.0900676263744,66.67969263033952,93.39426990002784,24.604072065041898,0.736499544549785,32.8998,-97.0403,37.7126,-122.2197,Fácil de predecir,green
CLT,PHL,CLT_PHL,373.0,282.99766756032164,251.76665289863527,66.5678881862693,115.08064773043407,25.663604635020043,0.3107004431512802,35.2144,-80.9473,39.8744,-75.2424,Fácil de predecir,green
ORD,SFO,ORD_SFO,332.0,313.9175602409639,310.65073833083125,66.41323372081614,100.94860724894437,22.02279147324218,0.528681805893437,41.9742,-87.9073,37.6213,-122.379,Fácil de predecir,green
PHL,MIA,PHL_MIA,236.0,236.69368644067794,251.83323457005133,66.33551732629918,90.03173297637251,40.20583458115642,0.47461379452630803,39.8744,-75.2424,25.7959,-80.287,Fácil de predecir,green
EWR,LAX,EWR_LAX,508.0,288.9438779527559,279.4626733368536,66.03750083540389,88.80994902283459,24.906499555347562,0.517913708302979,40.6895,-74.1745,33.9416,-118.4085,Fácil de predecir,green
ATL,MIA,ATL_MIA,239.0,226.84652719665266,213.01251238450263,65.8978029604345,91.87227907465142,35.00283302321522,0.47194452844958934,33.6407,-84.4277,25.7959,-80.287,Fácil de predecir,green
DFW,ORD,DFW_ORD,394.0,243.8412944162436,219.2785660380651,65.77354629540646,100.18371946349228,28.71815619526225,0.4098858656109622,32.8998,-97.0403,41.9742,-87.9073,Fácil de predecir,green
CLT,LAX,CLT_LAX,564.0,386.9545744680851,396.9347362959737,65.55790829080738,92.36161994703583,23.16674626098326,0.2730356981233961,35.2144,-80.9473,33.9416,-118.4085,Fácil de predecir,green
DTW,BOS,DTW_BOS,310.0,201.4516774193548,194.93304559427358,65.53619547336203,91.82009369982671,37.17267014171805,0.3981441231037073,42.2162,-83.3554,42.3656,-71.0096,Fácil de predecir,green
LAX,EWR,LAX_EWR,489.0,294.25942740286297,284.6636369547429,65.25380118808656,86.16981053208718,24.053117250837264,0.43989223948769873,33.9416,-118.4085,40.6895,-74.1745,Fácil de predecir,green
OAK,DFW,OAK_DFW,441.0,384.21027210884347,386.3760136500167,65.03802340558978,90.89538681258328,28.77960106580715,0.7631165175060404,37.7126,-122.2197,32.8998,-97.0403,Fácil de predecir,green
DEN,JFK,DEN_JFK,452.0,506.3222566371682,501.2073231345158,64.8783050522295,87.1793899003615,19.636830426232162,0.7858623142884116,39.8561,-104.6737,40.6413,-73.7781,Fácil de predecir,green
ORD,IAD,ORD_IAD,186.0,258.7737096774193,225.29215223808046,64.40799495777573,118.6510970378266,21.422274498205372,0.5207623827618444,41.9742,-87.9073,38.9531,-77.4565,Fácil de predecir,green
BOS,CLT,BOS_CLT,427.0,264.48451990632316,245.66133902773353,64.07683728505859,77.85533928556025,27.67591108102705,0.47712759120246884,42.3656,-71.0096,35.2144,-80.9473,Fácil de predecir,green
MIA,CLT,MIA_CLT,388.0,342.7481958762886,322.66411267261486,64.04536816927161,91.3096111744476,19.06375879442423,0.259031067171578,25.7959,-80.287,35.2144,-80.9473,Fácil de predecir,green
ORD,CLT,ORD_CLT,427.0,300.99138173302106,280.308504848755,63.54378471421888,98.9764671974627,23.05321723670877,0.5190551837552069,41.9742,-87.9073,35.2144,-80.9473,Fácil de predecir,green
DEN,LGA,DEN_LGA,311.0,212.77778135048226,226.4452787957225,63.22341828942573,81.72464236929348,36.063392024178206,0.37457953351332884,39.8561,-104.6737,40.7769,-73.874,Fácil de predecir,green
IAD,DFW,IAD_DFW,202.0,303.6590099009901,259.19010846555085,63.21438656804624,99.41180892225985,17.96434535094353,0.44496185305984215,38.9531,-77.4565,32.8998,-97.0403,Fácil de predecir,green
