route_market_key,N,origin_market,dest_market,n_aeropuertos_origen,n_aeropuertos_destino,aeropuertos_origen,aeropuertos_destino,precio_medio_real,precio_medio_predicho,MAE,RMSE,MAPE_%,R2,lat_origin_market,lon_origin_market,lat_dest_market,lon_dest_market,dificultad,color
SAN_FRANCISCO__WASHINGTON,942,SAN_FRANCISCO,WASHINGTON,3,3,"IAD, OAK, SFO","IAD, OAK, SFO",459.80979830148624,444.0425347285677,90.01762481895936,128.3844269158737,20.310761023676047,0.4849470583950668,37.66695,-122.29935,38.9531,-77.4565,Difícil de predecir,red
ATLANTA__DETROIT,735,DETROIT,ATLANTA,2,2,"ATL, DTW","ATL, DTW",308.87808163265305,276.08260139975704,90.01403209416748,163.56301802265654,31.994944063833277,0.3269668778028023,42.2162,-83.3554,33.6407,-84.4277,Difícil de predecir,red
DENVER__PHILADELPHIA,487,PHILADELPHIA,DENVER,2,2,"DEN, PHL","DEN, PHL",293.8396303901437,296.24479457800413,88.02470132995757,117.64519173884192,41.042338077288726,0.41580462903883886,39.8744,-75.2424,39.8561,-104.6737,Difícil de predecir,red
DETROIT__LOS_ANGELES,1029,LOS_ANGELES,DETROIT,2,2,"DTW, LAX","DTW, LAX",364.29926141885323,355.1201336922454,87.96639520211316,117.98820386730232,26.269215689788346,0.40614439706664607,33.9416,-118.4085,42.2162,-83.3554,Difícil de predecir,red
CHARLOTTE__DETROIT,540,DETROIT,CHARLOTTE,2,2,"CLT, DTW","CLT, DTW",306.69433333333336,299.6497665539374,80.51260991519104,127.4967330024625,31.484964234612285,0.315448059003989,42.2162,-83.3554,35.2144,-80.9473,Difícil de predecir,red
ATLANTA__DENVER,521,DENVER,ATLANTA,2,2,"ATL, DEN","ATL, DEN",237.63134357005757,249.80250482580783,79.91397612498916,115.43489301761869,47.33055610168422,0.31014694172071244,39.8561,-104.6737,33.6407,-84.4277,Difícil de predecir,red
DENVER__MIAMI,525,DENVER,MIAMI,2,2,"DEN, MIA","DEN, MIA",289.4511809523809,302.49629384276125,79.35045114054796,104.71204833072927,45.19679731354281,0.426461227759951,39.8561,-104.6737,25.7959,-80.287,Difícil de predecir,red
DALLAS_FORT_WORTH__DENVER,520,DENVER,DALLAS_FORT_WORTH,2,2,"DEN, DFW","DEN, DFW",222.44080769230766,207.89794263599347,78.1396698173473,109.48236693305509,41.9758387207943,0.41682967676174854,39.8561,-104.6737,32.8998,-97.0403,Difícil de predecir,red
DENVER__WASHINGTON,357,DENVER,WASHINGTON,2,2,"DEN, IAD","DEN, IAD",276.97406162464983,284.60796109710986,77.42169417943751,112.20746309951558,33.48314329081954,0.43121162275781244,39.8561,-104.6737,38.9531,-77.4565,Difícil de predecir,red
CHICAGO__LOS_ANGELES,1117,CHICAGO,LOS_ANGELES,2,2,"LAX, ORD","LAX, ORD",284.4109668755595,297.41957210342133,75.04423133108968,95.14677918000785,33.730201614496465,0.48761568992073334,41.9742,-87.9073,33.9416,-118.4085,Difícil de predecir,red
CHARLOTTE__DENVER,461,DENVER,CHARLOTTE,2,2,"CLT, DEN","CLT, DEN",285.62180043383944,289.84777833901785,75.0390894384532,105.85978439980171,30.912275754040028,0.3875783999256336,39.8561,-104.6737,35.2144,-80.9473,Difícil de predecir,red
LOS_ANGELES__MIAMI,881,MIAMI,LOS_ANGELES,2,2,"LAX, MIA","LAX, MIA",305.79701475595914,294.37004684108257,74.91953205783868,106.82241275765391,26.916094893331465,0.4794420851979705,25.7959,-80.287,33.9416,-118.4085,Difícil de predecir,red
DALLAS_FORT_WORTH__MIAMI,775,MIAMI,DALLAS_FORT_WORTH,2,2,"DFW, MIA","DFW, MIA",295.5226451612903,276.27853564801717,74.69981890867523,115.72423974335246,28.555410124116104,0.35152499902278334,25.7959,-80.287,32.8998,-97.0403,Difícil de predecir,red
LOS_ANGELES__PHILADELPHIA,998,PHILADELPHIA,LOS_ANGELES,2,2,"LAX, PHL","LAX, PHL",364.9192985971944,361.1632561082538,73.75766131958193,113.68752688577189,23.74714714484079,0.3866497089533558,39.8744,-75.2424,33.9416,-118.4085,Difícil de predecir,red
DENVER__DETROIT,407,DENVER,DETROIT,2,2,"DEN, DTW","DEN, DTW",262.42260442260437,262.97321103581254,73.1834196506506,100.32755379792788,33.94390189359199,0.36729270784493107,39.8561,-104.6737,42.2162,-83.3554,Difícil de predecir,red
DENVER__NEW_YORK,1957,DENVER,NEW_YORK,4,4,"DEN, EWR, JFK, LGA","DEN, EWR, JFK, LGA",341.8781859989781,356.7070311022399,72.04173380314727,100.02674310026657,32.39459161118491,0.7607878984621447,39.8561,-104.6737,40.70256666666666,-73.9422,Difícil de predecir,red
BOSTON__DENVER,718,BOSTON,DENVER,2,2,"BOS, DEN","BOS, DEN",264.0021448467966,279.6069832479022,71.20543935460155,93.88763694267544,32.12811467323635,0.25622658213373994,42.3656,-71.0096,39.8561,-104.6737,Difícil de predecir,red
DETROIT__PHILADELPHIA,410,PHILADELPHIA,DETROIT,2,2,"DTW, PHL","DTW, PHL",290.2265853658536,263.977607188716,71.19437730458289,94.965847814169,28.54179310462533,0.5045438593622851,39.8744,-75.2424,42.2162,-83.3554,Difícil de predecir,red
ATLANTA__LOS_ANGELES,1251,LOS_ANGELES,ATLANTA,2,2,"ATL, LAX","ATL, LAX",323.1991127098321,305.30392353275585,71.12038133353103,95.5560399744547,24.36522641649622,0.5122782819130447,33.9416,-118.4085,33.6407,-84.4277,Difícil de predecir,red
MIAMI__PHILADELPHIA,470,MIAMI,PHILADELPHIA,2,2,"MIA, PHL","MIA, PHL",240.92980851063825,253.4128771018946,70.52714491271941,95.13078892850264,41.72698565888859,0.47000623772525485,25.7959,-80.287,39.8744,-75.2424,Difícil de predecir,red
BOSTON__CHARLOTTE,828,BOSTON,CHARLOTTE,2,2,"BOS, CLT","BOS, CLT",274.416074879227,246.89013586309957,70.44396985479956,88.74339181995296,29.385340146149712,0.4166646804575149,42.3656,-71.0096,35.2144,-80.9473,Difícil de predecir,red
BOSTON__LOS_ANGELES,1064,LOS_ANGELES,BOSTON,2,2,"BOS, LAX","BOS, LAX",307.42577067669174,309.31351766482913,70.1583494276075,94.92778976400281,25.07385728474904,0.3831963433945631,33.9416,-118.4085,42.3656,-71.0096,Difícil de predecir,red
DENVER__LOS_ANGELES,682,LOS_ANGELES,DENVER,2,2,"DEN, LAX","DEN, LAX",214.5006891495601,218.37025573167284,68.56908624082436,95.43060997343052,43.140957557214556,0.41834337009812406,33.9416,-118.4085,39.8561,-104.6737,Difícil de predecir,red
DETROIT__NEW_YORK,1647,NEW_YORK,DETROIT,4,4,"DTW, EWR, JFK, LGA","DTW, EWR, JFK, LGA",283.17786885245897,264.7671734903309,67.87914968949082,96.95542735842216,29.017983465097842,0.6076039684949283,40.70256666666666,-73.9422,42.2162,-83.3554,Difícil de predecir,red
CHARLOTTE__LOS_ANGELES,1043,CHARLOTTE,LOS_ANGELES,2,2,"CLT, LAX","CLT, LAX",393.8638638542665,396.0839710094147,67.83931013819873,93.88224766632882,22.157573273621317,0.2644412733862941,35.2144,-80.9473,33.9416,-118.4085,Difícil de predecir,red
LOS_ANGELES__NEW_YORK,3091,LOS_ANGELES,NEW_YORK,4,4,"EWR, JFK, LAX, LGA","EWR, JFK, LAX, LGA",303.2537625363959,294.15616498833367,67.52736650070194,109.1522992123106,23.60146662180539,0.3956924277357231,33.9416,-118.4085,40.70256666666666,-73.9422,Difícil de predecir,red
ATLANTA__MIAMI,474,MIAMI,ATLANTA,2,2,"ATL, MIA","ATL, MIA",226.5270675105485,212.8361211536975,67.48114876869352,94.35216262627563,37.092156266903544,0.4401475500130708,25.7959,-80.287,33.6407,-84.4277,Difícil de predecir,red
DALLAS_FORT_WORTH__DETROIT,493,DETROIT,DALLAS_FORT_WORTH,2,2,"DFW, DTW","DFW, DTW",289.90129817444216,260.0503128765493,67.38979081941329,100.73969453226458,22.818236347115075,0.3697324413510267,42.2162,-83.3554,32.8998,-97.0403,Difícil de predecir,red
CHICAGO__WASHINGTON,379,CHICAGO,WASHINGTON,2,2,"IAD, ORD","IAD, ORD",271.04588390501317,239.23053765315643,66.42719617502541,107.81809660625336,22.44732826749386,0.5957851455603957,41.9742,-87.9073,38.9531,-77.4565,Fácil de predecir,green
ATLANTA__PHILADELPHIA,551,PHILADELPHIA,ATLANTA,2,2,"ATL, PHL","ATL, PHL",213.71513611615245,201.22391839589028,65.80562876630547,90.62961509042692,41.76670975573264,0.3767133992388394,39.8744,-75.2424,33.6407,-84.4277,Fácil de predecir,green
DALLAS_FORT_WORTH__SAN_FRANCISCO,1450,SAN_FRANCISCO,DALLAS_FORT_WORTH,3,3,"DFW, OAK, SFO","DFW, OAK, SFO",341.4927793103449,339.1134529167036,64.48408437679257,95.1229887262272,28.177751238998916,0.7135636355178138,37.66695,-122.29935,32.8998,-97.0403,Fácil de predecir,green
CHICAGO__DALLAS_FORT_WORTH,814,DALLAS_FORT_WORTH,CHICAGO,2,2,"DFW, ORD","DFW, ORD",253.05614250614244,223.48342073867084,64.09234194653911,94.37622367294107,26.77291993882183,0.46106880898224956,32.8998,-97.0403,41.9742,-87.9073,Fácil de predecir,green
BOSTON__DALLAS_FORT_WORTH,947,DALLAS_FORT_WORTH,BOSTON,2,2,"BOS, DFW","BOS, DFW",308.3444878563886,278.2444005080592,63.96931157956667,119.12809430908987,20.57930890407755,0.4052720567236653,32.8998,-97.0403,42.3656,-71.0096,Fácil de predecir,green
BOSTON__DETROIT,646,BOSTON,DETROIT,2,2,"BOS, DTW","BOS, DTW",203.46181114551078,195.9689178112745,63.25466819603559,88.72972695686123,35.018447998584335,0.36938056835328537,42.3656,-71.0096,42.2162,-83.3554,Fácil de predecir,green
CHICAGO__DENVER,422,DENVER,CHICAGO,2,2,"DEN, ORD","DEN, ORD",238.66635071090045,247.87442926235556,63.118981441416935,82.64611257575359,32.81568422996122,0.4971873852236033,39.8561,-104.6737,41.9742,-87.9073,Fácil de predecir,green
DETROIT__MIAMI,607,MIAMI,DETROIT,2,2,"DTW, MIA","DTW, MIA",266.5029818780889,238.57309896856287,62.89575119241246,127.47295246063152,22.173750202134407,0.24520451614574534,25.7959,-80.287,42.2162,-83.3554,Fácil de predecir,green
CHARLOTTE__PHILADELPHIA,755,CHARLOTTE,PHILADELPHIA,2,2,"CLT, PHL","CLT, PHL",280.3716953642384,255.18317681201873,61.63077723938662,102.32251476461417,24.681404257526783,0.3009533519660035,35.2144,-80.9473,39.8744,-75.2424,Fácil de predecir,green
MIAMI__NEW_YORK,1416,NEW_YORK,MIAMI,4,4,"EWR, JFK, LGA, MIA","EWR, JFK, LGA, MIA",201.1903531073446,191.37173434738156,61.42973444743206,111.54140832908993,33.057397491123965,0.564348160733873,40.70256666666666,-73.9422,25.7959,-80.287,Fácil de predecir,green
CHARLOTTE__MIAMI,814,MIAMI,CHARLOTTE,2,2,"CLT, MIA","CLT, MIA",338.6707862407862,322.21886661550525,61.34516495579474,85.26786244930852,18.71657916651812,0.26995908927667855,25.7959,-80.287,35.2144,-80.9473,Fácil de predecir,green
CHICAGO__DETROIT,311,DETROIT,CHICAGO,2,2,"DTW, ORD","DTW, ORD",219.80077170418005,182.42757060903622,61.31227952430545,125.73396835876497,23.83758528619557,0.47236452205903046,42.2162,-83.3554,41.9742,-87.9073,Fácil de predecir,green
CHARLOTTE__CHICAGO,932,CHARLOTTE,CHICAGO,2,2,"CLT, ORD","CLT, ORD",293.34806866952795,277.67916983517483,60.6550980769788,86.90799382824194,23.768724941151778,0.526044388872331,35.2144,-80.9473,41.9742,-87.9073,Fácil de predecir,green
DALLAS_FORT_WORTH__PHILADELPHIA,718,PHILADELPHIA,DALLAS_FORT_WORTH,2,2,"DFW, PHL","DFW, PHL",296.23458217270195,275.4477916448768,60.60710467935615,97.27525130080399,25.363376536526722,0.4011055668452458,39.8744,-75.2424,32.8998,-97.0403,Fácil de predecir,green
NEW_YORK__WASHINGTON,1530,NEW_YORK,WASHINGTON,4,4,"EWR, IAD, JFK, LGA","EWR, IAD, JFK, LGA",363.5065947712418,339.0874154538293,60.54841084903225,101.71008095942727,17.1781469568853,0.5719436263526189,40.70256666666666,-73.9422,38.9531,-77.4565,Fácil de predecir,green
LOS_ANGELES__SAN_FRANCISCO,1052,SAN_FRANCISCO,LOS_ANGELES,3,3,"LAX, OAK, SFO","LAX, OAK, SFO",199.51962927756654,196.76903517726927,60.345689294886775,95.58851487779461,39.02330974707698,0.6132212182663639,37.66695,-122.29935,33.9416,-118.4085,Fácil de predecir,green
CHARLOTTE__WASHINGTON,237,WASHINGTON,CHARLOTTE,2,2,"CLT, IAD","CLT, IAD",202.32755274261598,162.16211591811978,59.39672420272052,90.30955696811013,26.806118788647808,0.44784403677054374,38.9531,-77.4565,35.2144,-80.9473,Fácil de predecir,green
CHARLOTTE__DALLAS_FORT_WORTH,990,DALLAS_FORT_WORTH,CHARLOTTE,2,2,"CLT, DFW","CLT, DFW",326.5833232323232,303.33794744421846,59.33699596931951,89.68717875564775,19.43305049586649,0.41265648964584867,32.8998,-97.0403,35.2144,-80.9473,Fácil de predecir,green
BOSTON__CHICAGO,825,CHICAGO,BOSTON,2,2,"BOS, ORD","BOS, ORD",190.87592727272727,185.5366494964567,59.15394524369461,122.37928007242216,33.16005494447082,0.48611869102740746,41.9742,-87.9073,42.3656,-71.0096,Fácil de predecir,green
BOSTON__MIAMI,792,BOSTON,MIAMI,2,2,"BOS, MIA","BOS, MIA",180.69590909090905,192.41679333588965,58.95339290728959,80.86482208749807,36.85470041821858,0.29079286815855954,42.3656,-71.0096,25.7959,-80.287,Fácil de predecir,green
DALLAS_FORT_WORTH__NEW_YORK,2124,DALLAS_FORT_WORTH,NEW_YORK,4,4,"DFW, EWR, JFK, LGA","DFW, EWR, JFK, LGA",281.75995291902075,266.33473388219295,58.80047699506624,94.38232100374012,23.673670157989005,0.7147500840974792,32.8998,-97.0403,40.70256666666666,-73.9422,Fácil de predecir,green
LOS_ANGELES__WASHINGTON,657,LOS_ANGELES,WASHINGTON,2,2,"IAD, LAX","IAD, LAX",329.8023439878234,319.6531214654061,58.66427158329264,82.17140659266788,18.160002349935144,0.5932665848197641,33.9416,-118.4085,38.9531,-77.4565,Fácil de predecir,green
MIAMI__WASHINGTON,255,MIAMI,WASHINGTON,2,2,"IAD, MIA","IAD, MIA",250.2746666666666,238.57867541325993,58.3336737727135,83.18805781544849,22.776558390703645,0.5563464193931861,25.7959,-80.287,38.9531,-77.4565,Fácil de predecir,green
DALLAS_FORT_WORTH__WASHINGTON,364,WASHINGTON,DALLAS_FORT_WORTH,2,2,"DFW, IAD","DFW, IAD",286.56681318681314,250.32819853215452,57.00864058277104,95.98394258775747,17.727631611838515,0.4976548485801634,38.9531,-77.4565,32.8998,-97.0403,Fácil de predecir,green
CHARLOTTE__NEW_YORK,2198,NEW_YORK,CHARLOTTE,4,4,"CLT, EWR, JFK, LGA","CLT, EWR, JFK, LGA",248.61141037306638,224.70080773345163,55.22808049183275,110.00616395148714,20.98648771372667,0.42164475196792617,40.70256666666666,-73.9422,35.2144,-80.9473,Fácil de predecir,green
ATLANTA__DALLAS_FORT_WORTH,595,DALLAS_FORT_WORTH,ATLANTA,2,2,"ATL, DFW","ATL, DFW",201.81710924369744,179.04789611837643,54.9932179547597,82.54111795108369,31.134818742566026,0.3737081885930318,32.8998,-97.0403,33.6407,-84.4277,Fácil de predecir,green
ATLANTA__NEW_YORK,1834,ATLANTA,NEW_YORK,4,4,"ATL, EWR, JFK, LGA","ATL, EWR, JFK, LGA",208.69769356597598,199.03555081483137,54.73588644553624,79.82818628582568,31.81888953505199,0.6568759437126057,33.6407,-84.4277,40.70256666666666,-73.9422,Fácil de predecir,green
DETROIT__WASHINGTON,197,WASHINGTON,DETROIT,2,2,"DTW, IAD","DTW, IAD",204.13659898477152,189.31215409721656,53.11841757206135,88.0237632398729,24.875941106379667,0.5094443618273361,38.9531,-77.4565,42.2162,-83.3554,Fácil de predecir,green
CHICAGO__PHILADELPHIA,533,PHILADELPHIA,CHICAGO,2,2,"ORD, PHL","ORD, PHL",222.8422889305816,202.82519955175056,51.97792511541432,83.81849068661604,22.82705625982417,0.4365860413314381,39.8744,-75.2424,41.9742,-87.9073,Fácil de predecir,green
CHICAGO__MIAMI,812,MIAMI,CHICAGO,2,2,"MIA, ORD","MIA, ORD",240.29915024630537,218.46615440046324,51.64268755554292,80.18102235390103,21.284278730760217,0.45350872244225404,25.7959,-80.287,41.9742,-87.9073,Fácil de predecir,green
BOSTON__PHILADELPHIA,316,PHILADELPHIA,BOSTON,2,2,"BOS, PHL","BOS, PHL",175.4170253164557,155.5946412212768,51.27159624249226,69.88226596018976,33.169689152612996,0.5515440913550267,39.8744,-75.2424,42.3656,-71.0096,Fácil de predecir,green
ATLANTA__CHICAGO,710,ATLANTA,CHICAGO,2,2,"ATL, ORD","ATL, ORD",197.45436619718308,179.20315214019826,50.599152235593564,93.69286828410992,25.058783640429322,0.37848994735863706,33.6407,-84.4277,41.9742,-87.9073,Fácil de predecir,green
DALLAS_FORT_WORTH__LOS_ANGELES,1104,DALLAS_FORT_WORTH,LOS_ANGELES,2,2,"DFW, LAX","DFW, LAX",243.73317934782608,224.68746378643002,49.40623524277667,71.8029097804957,23.17945259650751,0.5753419363899994,32.8998,-97.0403,33.9416,-118.4085,Fácil de predecir,green
ATLANTA__WASHINGTON,245,ATLANTA,WASHINGTON,2,2,"ATL, IAD","ATL, IAD",203.40416326530607,175.91059750590583,48.159392138319625,81.16073288008413,20.648340519339598,0.558217873617134,33.6407,-84.4277,38.9531,-77.4565,Fácil de predecir,green
ATLANTA__BOSTON,793,BOSTON,ATLANTA,2,2,"ATL, BOS","ATL, BOS",219.34307692307692,213.85578901402667,48.15031009117708,66.18303950728587,24.431672492464372,0.6372063820944927,42.3656,-71.0096,33.6407,-84.4277,Fácil de predecir,green
CHICAGO__NEW_YORK,2626,NEW_YORK,CHICAGO,4,4,"EWR, JFK, LGA, ORD","EWR, JFK, LGA, ORD",261.89173648134044,237.6851961152407,47.07751910280495,74.26743281798854,19.741289577372395,0.792090352364503,40.70256666666666,-73.9422,41.9742,-87.9073,Fácil de predecir,green
BOSTON__NEW_YORK,1843,BOSTON,NEW_YORK,4,4,"BOS, EWR, JFK, LGA","BOS, EWR, JFK, LGA",175.9501519262072,151.86194445422532,44.11988130396497,75.44082913295125,23.530977086461778,0.6177699992845007,42.3656,-71.0096,40.70256666666666,-73.9422,Fácil de predecir,green
ATLANTA__CHARLOTTE,387,CHARLOTTE,ATLANTA,2,2,"ATL, CLT","ATL, CLT",295.71806201550385,277.92521249863336,43.98955496587412,63.83482864355248,15.380465588970502,0.6902196489277082,35.2144,-80.9473,33.6407,-84.4277,Fácil de predecir,green
